;id;slug;conditionId;liquidity;volume;open_interest;volume24hr;volume1wk;volume1mo;volume1yr;price_yes;price_no;oneWeekPriceChange
0;311286;tyler-robinson-convicted-of-homicide;0xdfea8851512360fb70c4b4ed29ed369b6dbcdfc58b2493b66cba65faab622129;35424.2433;177352.10192099962;43850.682655;13722.091860999997;90244.56999499998;177352.10192100002;177352.10192100002;0.415;0.585;0.03
1;23834;diddy-found-guilty-of-sex-trafficking;0x60d598861ef5b9ffca7681cfee6b124c0b995dc5e285e46046f06b28a1c85d4d;;797960.797249;0.0;;730365.2479539997;762846.7047039999;797960.7972489997;;;-0.5225
